caseid,time,activity
1,208,arrival
1,208,join_queue_1
1,208,begin_service
2,238,arrival
2,238,join_queue_1
2,238,begin_service
3,242,arrival
3,242,join_queue_1
3,242,begin_service
4,337,arrival
4,337,join_queue_1
4,337,begin_service
5,357,arrival
5,357,join_queue_1
5,357,join_queue_2 - service request escalated
5,357,begin_service
5,357,begin_escalated_service
6,382,arrival
6,382,join_queue_1
6,382,begin_service
7,448,arrival
7,448,join_queue_1
7,448,join_queue_2 - service request escalated
7,448,begin_service
3,461,end_service
8,560,arrival
8,560,join_queue_1
8,560,begin_service
9,641,arrival
9,641,join_queue_1
9,641,begin_service
7,701,end_service
10,765,arrival
10,765,join_queue_1
10,765,begin_service
4,1048,end_service
11,1058,arrival
11,1058,join_queue_1
11,1058,begin_service
11,1213,end_service
12,1235,arrival
12,1235,join_queue_1
12,1235,join_queue_2 - service request escalated
12,1235,begin_service
9,1241,end_service
13,1276,arrival
13,1276,join_queue_1
13,1276,begin_service
5,1316,end_service
14,1340,arrival
14,1340,join_queue_1
14,1340,begin_service
15,1388,arrival
15,1388,join_queue_1
15,1388,begin_service
16,1443,arrival
16,1443,join_queue_1
16,1443,begin_service
17,1488,arrival
17,1488,join_queue_1
6,1532,end_service
17,1532,begin_service
13,1548,end_service
12,1580,end_service
18,1592,arrival
18,1592,join_queue_1
18,1592,begin_service
19,1606,arrival
19,1606,join_queue_1
19,1606,begin_service
20,1653,arrival
20,1653,join_queue_1
20,1653,join_queue_2 - service request escalated
1,1665,end_service
20,1665,begin_service
2,1688,end_service
8,1841,end_service
21,1883,arrival
21,1883,join_queue_1
21,1883,begin_service
10,1885,end_service
22,1905,arrival
22,1905,join_queue_1
22,1905,begin_service
23,1984,arrival
23,1984,join_queue_1
23,1984,begin_service
17,2030,end_service
15,2056,end_service
16,2060,end_service
24,2080,arrival
24,2080,join_queue_1
24,2080,begin_service
14,2099,end_service
22,2153,end_service
25,2191,arrival
25,2191,join_queue_1
25,2191,begin_service
26,2260,arrival
26,2260,join_queue_1
26,2260,join_queue_2 - service request escalated
7,2260,renege_queue_2
26,2260,begin_service
5,2270,end_escalated_service
12,2270,begin_escalated_service
18,2273,end_service
24,2273,end_service
27,2337,arrival
27,2337,join_queue_1
27,2337,begin_service
19,2371,end_service
20,2484,end_service
28,2578,arrival
28,2578,join_queue_1
28,2578,begin_service
26,2599,end_service
29,2671,arrival
29,2671,join_queue_1
29,2671,begin_service
30,2751,arrival
30,2751,join_queue_1
30,2751,begin_service
31,2800,arrival
31,2800,join_queue_1
31,2800,begin_service
32,2905,arrival
32,2905,join_queue_1
32,2905,begin_service
23,2909,end_service
33,3041,arrival
33,3041,join_queue_1
33,3041,begin_service
29,3081,end_service
21,3128,end_service
34,3135,arrival
34,3135,join_queue_1
34,3135,begin_service
30,3252,end_service
25,3372,end_service
27,3374,end_service
12,3412,end_escalated_service
20,3412,begin_escalated_service
35,3428,arrival
35,3428,join_queue_1
35,3428,begin_service
36,3611,arrival
36,3611,join_queue_1
36,3611,begin_service
28,3669,end_service
34,3688,end_service
31,3732,end_service
37,3760,arrival
37,3760,join_queue_1
37,3760,begin_service
38,3772,arrival
38,3772,join_queue_1
38,3772,begin_service
33,3973,end_service
38,4120,end_service
36,4129,end_service
39,4137,arrival
39,4137,join_queue_1
39,4137,begin_service
32,4160,end_service
40,4167,arrival
40,4167,join_queue_1
40,4167,begin_service
41,4175,arrival
41,4175,join_queue_1
41,4175,begin_service
42,4183,arrival
42,4183,join_queue_1
42,4183,begin_service
43,4263,arrival
43,4263,join_queue_1
43,4263,begin_service
44,4265,arrival
44,4265,join_queue_1
44,4265,begin_service
45,4386,arrival
45,4386,join_queue_1
45,4386,begin_service
40,4496,end_service
46,4513,arrival
46,4513,join_queue_1
46,4513,join_queue_2 - service request escalated
46,4513,begin_service
47,4688,arrival
47,4688,join_queue_1
47,4688,begin_service
48,4722,arrival
48,4722,join_queue_1
49,4742,arrival
49,4742,join_queue_1
35,4924,end_service
48,4924,begin_service
41,4964,end_service
49,4964,begin_service
50,5024,arrival
50,5024,join_queue_1
37,5031,end_service
50,5031,begin_service
51,5079,arrival
51,5079,join_queue_1
51,5079,join_queue_2 - service request escalated
43,5088,end_service
51,5088,begin_service
39,5103,end_service
48,5151,end_service
42,5172,end_service
52,5183,arrival
52,5183,join_queue_1
52,5183,begin_service
53,5265,arrival
53,5265,join_queue_1
53,5265,begin_service
44,5423,end_service
47,5448,end_service
51,5456,end_service
54,5474,arrival
54,5474,join_queue_1
54,5474,begin_service
55,5558,arrival
55,5558,join_queue_1
55,5558,join_queue_2 - service request escalated
26,5558,renege_queue_2
55,5558,begin_service
45,5630,end_service
56,5691,arrival
56,5691,join_queue_1
56,5691,begin_service
57,5762,arrival
57,5762,join_queue_1
57,5762,begin_service
58,5768,arrival
58,5768,join_queue_1
58,5768,begin_service
55,5792,end_service
46,5839,end_service
57,5935,end_service
50,5948,end_service
59,5953,arrival
59,5953,join_queue_1
59,5953,join_queue_2 - service request escalated
46,5953,renege_queue_2
59,5953,begin_service
20,6031,end_escalated_service
51,6031,begin_escalated_service
52,6111,end_service
53,6122,end_service
60,6407,arrival
60,6407,join_queue_1
60,6407,begin_service
61,6424,arrival
61,6424,join_queue_1
61,6424,begin_service
62,6427,arrival
62,6427,join_queue_1
62,6427,begin_service
49,6430,end_service
58,6437,end_service
59,6484,end_service
56,6489,end_service
63,6541,arrival
63,6541,join_queue_1
63,6541,begin_service
64,6546,arrival
64,6546,join_queue_1
64,6546,join_queue_2 - service request escalated
64,6546,begin_service
54,6575,end_service
51,6637,end_escalated_service
55,6637,begin_escalated_service
61,6732,end_service
65,6800,arrival
65,6800,join_queue_1
65,6800,begin_service
66,7104,arrival
66,7104,join_queue_1
66,7104,join_queue_2 - service request escalated
66,7104,begin_service
66,7229,end_service
60,7288,end_service
67,7307,arrival
67,7307,join_queue_1
67,7307,begin_service
64,7311,end_service
63,7317,end_service
68,7405,arrival
68,7405,join_queue_1
68,7405,join_queue_2 - service request escalated
59,7405,renege_queue_2
68,7405,begin_service
69,7433,arrival
69,7433,join_queue_1
69,7433,begin_service
65,7546,end_service
70,7553,arrival
70,7553,join_queue_1
70,7553,begin_service
71,7582,arrival
71,7582,join_queue_1
71,7582,join_queue_2 - service request escalated
64,7582,renege_queue_2
71,7582,begin_service
72,7615,arrival
72,7615,join_queue_1
72,7615,begin_service
73,7660,arrival
73,7660,join_queue_1
73,7660,begin_service
74,7665,arrival
74,7665,join_queue_1
74,7665,begin_service
69,7753,end_service
75,7763,arrival
75,7763,join_queue_1
75,7763,begin_service
62,7771,end_service
76,7858,arrival
76,7858,join_queue_1
76,7858,begin_service
77,7881,arrival
77,7881,join_queue_1
77,7881,begin_service
78,7920,arrival
78,7920,join_queue_1
79,7936,arrival
79,7936,join_queue_1
80,7988,arrival
80,7988,join_queue_1
81,7991,arrival
81,7991,join_queue_1
81,7991,join_queue_2 - service request escalated
66,7991,renege_queue_2
75,8019,end_service
78,8019,begin_service
82,8067,arrival
82,8067,join_queue_1
71,8094,end_service
79,8094,begin_service
83,8176,arrival
83,8176,join_queue_1
84,8229,arrival
84,8229,join_queue_1
85,8275,arrival
85,8275,join_queue_1
73,8282,end_service
80,8282,begin_service
74,8303,end_service
81,8303,begin_service
68,8315,end_service
82,8315,begin_service
86,8329,arrival
86,8329,join_queue_1
87,8358,arrival
87,8358,join_queue_1
87,8358,join_queue_2 - service request escalated
68,8358,renege_queue_2
55,8413,end_escalated_service
71,8413,begin_escalated_service
67,8529,end_service
83,8529,begin_service
