caseid,time,activity
1,208,arrival
1,208,join_queue_1
1,208,begin_service
2,238,arrival
2,238,join_queue_1
2,238,begin_service
3,258,arrival
3,258,join_queue_1
3,258,join_queue_2 - service request escalated
3,258,begin_service
3,258,begin_escalated_service
4,283,arrival
4,283,join_queue_1
4,283,begin_service
5,364,arrival
5,364,join_queue_1
5,364,join_queue_2 - service request escalated
5,364,begin_service
2,509,end_service
1,511,end_service
6,541,arrival
6,541,join_queue_1
6,541,join_queue_2 - service request escalated
6,541,begin_service
7,582,arrival
7,582,join_queue_1
7,582,begin_service
4,624,end_service
3,635,end_escalated_service
5,635,begin_escalated_service
8,637,arrival
8,637,join_queue_1
8,637,begin_service
9,651,arrival
9,651,join_queue_1
9,651,begin_service
3,670,end_service
5,678,end_service
10,698,arrival
10,698,join_queue_1
10,698,begin_service
6,735,end_service
11,777,arrival
11,777,join_queue_1
11,777,begin_service
7,829,end_service
8,833,end_service
12,873,arrival
12,873,join_queue_1
12,873,begin_service
9,937,end_service
13,950,arrival
13,950,join_queue_1
13,950,begin_service
11,1001,end_service
10,1013,end_service
13,1178,end_service
14,1191,arrival
14,1191,join_queue_1
14,1191,begin_service
15,1240,arrival
15,1240,join_queue_1
15,1240,begin_service
12,1294,end_service
16,1345,arrival
16,1345,join_queue_1
16,1345,join_queue_2 - service request escalated
16,1345,begin_service
15,1569,end_service
17,1638,arrival
17,1638,join_queue_1
17,1638,begin_service
14,1667,end_service
16,1761,end_service
18,1821,arrival
18,1821,join_queue_1
18,1821,join_queue_2 - service request escalated
18,1821,begin_service
17,1907,end_service
18,2137,end_service
19,2186,arrival
19,2186,join_queue_1
19,2186,begin_service
20,2216,arrival
20,2216,join_queue_1
20,2216,begin_service
5,2282,end_escalated_service
6,2282,begin_escalated_service
21,2337,arrival
21,2337,join_queue_1
21,2337,begin_service
22,2371,arrival
22,2371,join_queue_1
22,2371,begin_service
23,2391,arrival
23,2391,join_queue_1
23,2391,begin_service
19,2465,end_service
24,2495,arrival
24,2495,join_queue_1
24,2495,begin_service
20,2515,end_service
25,2577,arrival
25,2577,join_queue_1
25,2577,begin_service
22,2656,end_service
21,2678,end_service
26,2710,arrival
26,2710,join_queue_1
26,2710,begin_service
23,2736,end_service
27,2781,arrival
27,2781,join_queue_1
27,2781,begin_service
28,2786,arrival
28,2786,join_queue_1
28,2786,begin_service
24,2796,end_service
25,2956,end_service
28,3001,end_service
26,3014,end_service
29,3040,arrival
29,3040,join_queue_1
29,3040,begin_service
27,3063,end_service
30,3160,arrival
30,3160,join_queue_1
30,3160,begin_service
31,3189,arrival
31,3189,join_queue_1
31,3189,begin_service
32,3194,arrival
32,3194,join_queue_1
32,3194,begin_service
33,3292,arrival
33,3292,join_queue_1
33,3292,begin_service
34,3331,arrival
34,3331,join_queue_1
34,3331,begin_service
35,3347,arrival
35,3347,join_queue_1
29,3357,end_service
35,3357,begin_service
30,3413,end_service
32,3416,end_service
36,3423,arrival
36,3423,join_queue_1
36,3423,begin_service
31,3424,end_service
37,3532,arrival
37,3532,join_queue_1
37,3532,begin_service
38,3586,arrival
38,3586,join_queue_1
38,3586,begin_service
33,3603,end_service
39,3615,arrival
39,3615,join_queue_1
39,3615,begin_service
34,3624,end_service
36,3640,end_service
40,3642,arrival
40,3642,join_queue_1
40,3642,begin_service
35,3655,end_service
41,3708,arrival
41,3708,join_queue_1
41,3708,begin_service
37,3768,end_service
38,3768,end_service
39,3778,end_service
41,3831,end_service
42,3913,arrival
42,3913,join_queue_1
42,3913,begin_service
40,3998,end_service
43,4133,arrival
43,4133,join_queue_1
43,4133,join_queue_2 - service request escalated
43,4133,begin_service
44,4179,arrival
44,4179,join_queue_1
44,4179,begin_service
42,4187,end_service
6,4206,end_escalated_service
16,4206,begin_escalated_service
45,4209,arrival
45,4209,join_queue_1
45,4209,begin_service
46,4238,arrival
46,4238,join_queue_1
46,4238,begin_service
47,4304,arrival
47,4304,join_queue_1
47,4304,join_queue_2 - service request escalated
47,4304,begin_service
48,4315,arrival
48,4315,join_queue_1
48,4315,begin_service
49,4375,arrival
49,4375,join_queue_1
50,4464,arrival
50,4464,join_queue_1
44,4477,end_service
49,4477,begin_service
51,4480,arrival
51,4480,join_queue_1
45,4494,end_service
50,4494,begin_service
43,4531,end_service
51,4531,begin_service
52,4534,arrival
52,4534,join_queue_1
46,4538,end_service
52,4538,begin_service
53,4554,arrival
53,4554,join_queue_1
53,4554,join_queue_2 - service request escalated
18,4554,renege_queue_2
54,4571,arrival
54,4571,join_queue_1
48,4639,end_service
53,4639,begin_service
47,4715,end_service
54,4715,begin_service
51,4818,end_service
55,4824,arrival
55,4824,join_queue_1
55,4824,begin_service
56,4825,arrival
56,4825,join_queue_1
52,4842,end_service
56,4842,begin_service
57,4858,arrival
57,4858,join_queue_1
49,4879,end_service
57,4879,begin_service
50,4881,end_service
58,4919,arrival
58,4919,join_queue_1
58,4919,begin_service
53,4996,end_service
59,5038,arrival
59,5038,join_queue_1
59,5038,join_queue_2 - service request escalated
43,5038,renege_queue_2
59,5038,begin_service
54,5058,end_service
55,5101,end_service
16,5112,end_escalated_service
47,5112,begin_escalated_service
57,5122,end_service
60,5122,arrival
60,5122,join_queue_1
60,5122,join_queue_2 - service request escalated
60,5122,begin_service
56,5138,end_service
59,5206,end_service
61,5219,arrival
61,5219,join_queue_1
61,5219,begin_service
62,5310,arrival
62,5310,join_queue_1
62,5310,join_queue_2 - service request escalated
53,5310,renege_queue_2
62,5310,begin_service
58,5339,end_service
63,5413,arrival
63,5413,join_queue_1
63,5413,begin_service
61,5477,end_service
60,5479,end_service
64,5488,arrival
64,5488,join_queue_1
64,5488,begin_service
65,5538,arrival
65,5538,join_queue_1
65,5538,begin_service
66,5558,arrival
66,5558,join_queue_1
66,5558,begin_service
62,5643,end_service
67,5661,arrival
67,5661,join_queue_1
67,5661,begin_service
68,5753,arrival
68,5753,join_queue_1
68,5753,join_queue_2 - service request escalated
59,5753,renege_queue_2
68,5753,begin_service
63,5771,end_service
69,5794,arrival
69,5794,join_queue_1
69,5794,begin_service
65,5826,end_service
64,5834,end_service
66,5862,end_service
67,5887,end_service
70,5889,arrival
70,5889,join_queue_1
70,5889,begin_service
68,6003,end_service
70,6147,end_service
71,6211,arrival
71,6211,join_queue_1
71,6211,begin_service
69,6258,end_service
71,6467,end_service
72,6728,arrival
72,6728,join_queue_1
72,6728,begin_service
73,6754,arrival
73,6754,join_queue_1
73,6754,begin_service
74,6931,arrival
74,6931,join_queue_1
74,6931,begin_service
75,6980,arrival
75,6980,join_queue_1
75,6980,begin_service
76,7023,arrival
76,7023,join_queue_1
76,7023,join_queue_2 - service request escalated
60,7023,renege_queue_2
76,7023,begin_service
72,7089,end_service
74,7153,end_service
73,7183,end_service
77,7228,arrival
77,7228,join_queue_1
77,7228,begin_service
76,7238,end_service
75,7319,end_service
77,7500,end_service
78,7550,arrival
78,7550,join_queue_1
78,7550,begin_service
79,7583,arrival
79,7583,join_queue_1
79,7583,begin_service
80,7585,arrival
80,7585,join_queue_1
80,7585,begin_service
81,7623,arrival
81,7623,join_queue_1
81,7623,begin_service
47,7631,end_escalated_service
62,7631,begin_escalated_service
82,7787,arrival
82,7787,join_queue_1
82,7787,begin_service
78,7794,end_service
83,7812,arrival
83,7812,join_queue_1
83,7812,begin_service
84,7819,arrival
84,7819,join_queue_1
84,7819,begin_service
81,7838,end_service
80,7848,end_service
79,7862,end_service
84,7995,end_service
82,8039,end_service
83,8074,end_service
85,8156,arrival
85,8156,join_queue_1
85,8156,join_queue_2 - service request escalated
